Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;39;1278731;95789426;211;97068368;3196.827;239473.562;0.527;242670.922
Placas11002.jpg;39;1279552;95791369;209;97071130;3198.880;239478.422;0.522;242677.812
